date,cyclone_events
1884,1
1887,4
1888,1
1889,1
1890,2
1891,1
1892,2
1893,2
1894,2
1896,2
1898,1
1899,1
1900,6
1901,2
1902,1
1903,3
1905,1
1907,1
1908,1
1909,5
1911,2
1912,2
1913,2
1915,2
1916,3
1917,1
1920,2
1922,1
1923,2
1924,1
1926,1
1928,2
1929,2
1930,3
1931,1
1932,5
1933,7
1935,4
1936,2
1938,2
1939,1
1940,1
1943,1
1945,1
1946,1
1947,2
1948,6
1949,4
1950,2
1951,5
1952,11
1953,6
1954,5
1955,2
1956,5
1957,2
1958,5
1959,6
1960,8
1961,7
1962,6
1963,8
1964,12
1965,9
1966,4
1967,4
1968,6
1969,3
1970,5
1971,7
1972,7
1973,12
1974,7
1975,6
1976,2
1977,3
1978,9
1979,4
1980,10
1981,5
1982,5
1983,8
1984,7
1985,8
1986,8
1987,5
1988,6
1989,9
1990,9
1991,4
1992,7
1993,5
1994,8
1995,7
1996,8
1997,4
1998,6
1999,2
2000,3
2001,4
2003,2
2004,1
2005,5
2006,6
2007,4
2008,5
2009,5
2010,4
2011,4
2012,6
2013,9
2014,3
2015,2
2016,5
2017,7
2018,5
2019,4
